%Warning: Data.hex:0: $readmem file not found
Switch 1 : 812 | Switch 2: 510 | Switch Master : 980 | ClockCount = 7 | Output Value: 0 | Output Value (SVA): 1322 | WriteEnable: 0 |  OpCode=ADC |  InDest: 510 | InSrc: 812 | OutDest: 1322 | PortData1: 980 | PmuxReadData: 980 | DMuxSlaveData3: 980 | DMuxReadData: 0 | InBlockUse: 0 | time=79000
Switch 1 : 812 | Switch 2: 510 | Switch Master : 980 | ClockCount = 8 | Output Value: 0 | Output Value (SVA): 1322 | WriteEnable: 0 |  OpCode=ADC |  InDest: 510 | InSrc: 812 | OutDest: 1322 | PortData1: 980 | PmuxReadData: 980 | DMuxSlaveData3: 980 | DMuxReadData: 0 | InBlockUse: 0 | time=80000
Switch 1 : 812 | Switch 2: 510 | Switch Master : 559 | ClockCount = 8 | Output Value: 0 | Output Value (SVA): 1322 | WriteEnable: 0 |  OpCode=ADC |  InDest: 510 | InSrc: 812 | OutDest: 1322 | PortData1: 559 | PmuxReadData: 559 | DMuxSlaveData3: 559 | DMuxReadData: 0 | InBlockUse: 0 | time=82000
Switch 1 : 812 | Switch 2: 510 | Switch Master : 821 | ClockCount = 8 | Output Value: 0 | Output Value (SVA): 1322 | WriteEnable: 0 |  OpCode=ADC |  InDest: 510 | InSrc: 812 | OutDest: 1322 | PortData1: 821 | PmuxReadData: 821 | DMuxSlaveData3: 821 | DMuxReadData: 0 | InBlockUse: 0 | time=85000
Switch 1 : 812 | Switch 2: 510 | Switch Master : 821 | ClockCount = 8 | Output Value: 1322 | Output Value (SVA): 1322 | WriteEnable: 1 |  OpCode=STORE |  InDest: 2 | InSrc: 1322 | OutDest: 0 | PortData1: 821 | PmuxReadData: 821 | DMuxSlaveData3: 821 | DMuxReadData: 0 | InBlockUse: 0 | time=85000
Switch 1 : 812 | Switch 2: 510 | Switch Master : 15 | ClockCount = 8 | Output Value: 1322 | Output Value (SVA): 1322 | WriteEnable: 1 |  OpCode=STORE |  InDest: 2 | InSrc: 1322 | OutDest: 0 | PortData1: 15 | PmuxReadData: 15 | DMuxSlaveData3: 15 | DMuxReadData: 0 | InBlockUse: 0 | time=86000
Final value is equal to  1322.
- HighRiscTb.sv:134: Verilog $finish
- S i m u l a t i o n   R e p o r t: Verilator 5.051 devel
- Verilator: $finish at 87ns; walltime 0.012 s; speed 7.547 us/s
- Verilator: cpu 0.012 s on 1 threads; allocated 4 MB
